system:index,Ave_Wet,CLC_STATE,Den_ID,Fire_Cat,Prec_Tree,dist2build,used,.geo
000000000000000001ca,-0.748162,1830,FP061,U,21,33.37261953662645,0.0,"{""type"":""Point"",""coordinates"":[-80.54550649455501,25.563959291821355]}"
000000000000000001d2,-0.748162,1830,FP061,U,2,96.22378269607802,0.0,"{""type"":""Point"",""coordinates"":[-80.5472184935691,25.56339084164964]}"
000000000000000001d5,-1.101264,1830,FP061,U,8,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.5141622193448,25.596643204457994]}"
000000000000000001d6,-0.355778,1830,FP061,U,21,3.0983636926488383,0.0,"{""type"":""Point"",""coordinates"":[-80.53705160183003,25.610066154755547]}"
000000000000000001de,-0.9906,1830,FP061,U,34,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.51680893570793,25.588727025076963]}"
0000000000000000016c,-0.355778,1840,FP061,U,35,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.53713685826607,25.61103463047213]}"
00000000000000000177,-0.313378,1840,FP061,U,26,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.54145675402462,25.62034480974901]}"
00000000000000000196,-1.101264,1840,FP061,U,30,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.51398444185308,25.590483748155926]}"
0000000000000000019a,-1.225296,1840,FP061,U,24,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.53839491503746,25.553730463243827]}"
000000000000000001a9,-0.576322,1840,FP061,U,9,0.0,0.0,"{""type"":""Point"",""coordinates"":[-80.54808575602507,25.571955028811562]}"
00000000000000000174,-0.769557,1340,FP061,U,74,357.6900324319668,0.0,"{""type"":""Point"",""coordinates"":[-80.55502871049482,25.553427841985513]}"
0000000000000000016f,-0.628363,2110,FP061,U,19,307.05613072869505,0.0,"{""type"":""Point"",""coordinates"":[-80.53851272795386,25.582302037860334]}"
00000000000000000178,-0.315857,2110,FP061,U,2,1027.9416291252135,0.0,"{""type"":""Point"",""coordinates"":[-80.56963831745736,25.545694401541358]}"
0000000000000000017c,-0.628363,2110,FP061,U,24,63.00884449257689,0.0,"{""type"":""Point"",""coordinates"":[-80.5464424693114,25.585733500600664]}"
00000000000000000184,-0.402336,2110,FP061,U,30,785.9455977892687,0.0,"{""type"":""Point"",""coordinates"":[-80.56110359374951,25.556964921641914]}"
0000000000000000018f,-0.597438,2110,FP061,U,4,347.9878426051566,0.0,"{""type"":""Point"",""coordinates"":[-80.56282441193942,25.547108614853265]}"
00000000000000000195,-0.576322,2110,FP061,U,21,45.55538971029776,0.0,"{""type"":""Point"",""coordinates"":[-80.55059503706083,25.580250824997183]}"
0000000000000000019c,-0.351661,2110,FP061,U,19,185.82499383998385,0.0,"{""type"":""Point"",""coordinates"":[-80.56126474462296,25.566988214309585]}"
000000000000000001a0,-0.719314,2110,FP061,U,6,99.40480623698032,0.0,"{""type"":""Point"",""coordinates"":[-80.54219427807413,25.577275325016664]}"
